Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,corpus
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fix tostring of nonserializablememoizingsupplier ee cdd c f e ead c e a use splitter instead of stringsplit in internetdomainnamee f aa d b eed f d c af c ec use splitter for ipv too this eliminates usage of javautilregex from this file which is used via stringsplit otherwise a a de ef eea f a cbbce e e fccce use diamond eb c a d edbf edcca cd cd automated rollback of a ef b b fe c e db a a f eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget c a ff c f d b b fe dont enable use of unsafegetlong on aarch devicesandroid devices may report to run aarch while running in bit mode and thencrash when loading bit values at unaligned addresses bbcf cf cfae ddf e f d da e
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix tostring exception handling change from c fb cc b f b b a f cathis is not an ideal code fix but it restores the previous functionality and adds a test that verifies the exception handling logic b dfbfc f b f d a a bb e f f c handle stackoverflowerror from both pendingtostring and appenduserobjectadds a bunch of tests to validate error handling in tostring code verify that a future completing during the tostring call results in a done formatted string verify that an exception thrown by pendingtostring doesnt cause tostring to fail verify that cycles dont cause tostring to fail verify that deep chains of setfuture dont cause tostring to failrelnotescatch stackoverflowerror in abstractfuturetostring to prevent long chains of futures from failing tostring calls d d b e ad d ba a c f update documentation a d bb fc ba da b d b b
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,simplify redundant collectionaddall calls ae a d c e f cef f c abd f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,double slicing bytesource fb b bc d d a b bb c b af
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,add some unit tests for base url in baseencoding e c a e efb dd d cc f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix github by reimplementing cartesian{setlist}containsrelnotes d ce a a aa ba dba a
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,move comment to a more appropriate locationthe comment was added along with putcoalescing in cl a a f a a bb d a c bcbeb
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,in immutableintarray use arrayscopyof when expanding the internal array bdb c a ad e cda f dc implemented lastindexof in cartesianlist da dd e bc e e a ac e e ce b f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,efficient unmodifiablemultimap foreachforeach can pass calls directly to the delegate protectedcollection because it is a read only operation fixes a df b beb c b d e cb b add comparatorsmin maxrelnotes collect added two element min and max methods to comparatorsfc e e ccc bf dc d discourage orderingmin e e and max e e in favor of comparatorsmin e e comparator and max e e comparator relnotesdiscourage the use of orderingmin e e and max e e bf e d f ade a ed f
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,clarify how to use iteratortester when using iteratortester intellij idea automatically imports abstractiteratortesterknownorder however abstractiteratortester is private and it is not obvious that one was meant to import iteratortesterknownorder instead therefore this commit updates thejavadoc to give an example of how to use the api properly c e a b a bc fda d add a bunch of warnings to executionsequencersee discussion on cl b dfb ebeff ac d f a ccfce a eac
